7 10 2589
10656 13275.0 18117 20664 5860
hub : 481012, 3185, -1209, 45.65, 202500, 2
major : 809398, -473, 1111, 72.16, 242500, 2
major : 556326, 2923, 1481, 57.75, 159750, 1
regional : 905056, 138, 2075, 97.46, 125600, 1
regional : 134017, 1548, 235, 92.95, 199800, 2
regional : 664408, -29, -736, 87.67, 144000, 1
regional : 590305, 2093, 1384, 109.12, 190800, 1
major : 549568, 3172, -197, 71.94, 136000, 3
regional : 793606, 2608, 490, 88.77, 147800, 1
major : 898202, -565, -55, 52.8, 245250, 2
business : 1163852024, 189, 1, [905056, 898202]
luxury : 3369309713, 196, 7, [793606, 898202]
economy : 1677095717, 100, 10, [556326, 134017]
economy : 5768860156, 58, 0, [134017, 590305]
business : 6793936404, 117, 10, [793606, 898202]
economy : 3261045411, 154, 1, [793606, 549568]
economy : 3232703640, 94, 3, [898202, 549568]
business : 7739896695, 44, 10, [898202, 134017]
economy : 6527614658, 144, 1, [898202, 134017]
economy : 5296835066, 104, 1, [664408, 481012]
economy : 2271651281, 128, 2, [793606, 556326]
first : 7465128663, 169, 5, [549568, 134017]
economy : 2423343062, 75, 1, [590305, 898202]
economy : 8961582336, 66, 1, [481012, 809398]
economy : 4889560284, 108, 9, [590305, 905056]
luxury : 9611618675, 101, 1, [590305, 809398]
economy : 9404259745, 185, 1, [898202, 793606]
economy : 6597954523, 180, 2, [481012, 898202]
business : 4033881310, 93, 6, [134017, 556326]
economy : 9572438925, 169, 3, [664408, 590305]
business : 7689918799, 195, 3, [809398, 793606]
business : 4404293416, 132, 2, [134017, 549568]
business : 2353913231, 194, 1, [664408, 549568]
luxury : 7379138739, 159, 1, [590305, 905056]
economy : 7327609602, 186, 10, [590305, 481012]
business : 6420770704, 95, 3, [898202, 809398]
economy : 3564999879, 159, 2, [134017, 549568]
business : 2012959093, 194, 2, [134017, 590305]
economy : 7605307979, 150, 4, [793606, 664408]
first : 2949166580, 77, 2, [905056, 793606]
economy : 1651053561, 103, 1, [590305, 134017]
business : 4708161563, 89, 1, [134017, 664408]
economy : 7783487933, 170, 3, [898202, 664408]
economy : 9164357073, 94, 1, [809398, 905056]
economy : 6961294269, 167, 4, [898202, 556326]
first : 5558064480, 77, 2, [590305, 549568]
economy : 8589619380, 190, 8, [898202, 809398]
economy : 7043075491, 59, 1, [134017, 664408]
economy : 2489967322, 59, 0, [481012, 905056]
economy : 3671249825, 101, 4, [556326, 905056]
economy : 2419495771, 200, 1, [590305, 549568]
economy : 9852871046, 180, 5, [898202, 664408]
economy : 9519364899, 181, 3, [664408, 793606]
business : 7276523617, 198, 2, [809398, 556326]
economy : 4859021079, 71, 2, [590305, 549568]
economy : 8789418905, 84, 0, [134017, 590305]
economy : 4459805915, 198, 3, [793606, 809398]
economy : 9895098670, 172, 2, [549568, 134017]
economy : 2325212530, 175, 2, [590305, 481012]
economy : 5510211006, 74, 1, [664408, 898202]
business : 5597545142, 41, 1, [556326, 481012]
economy : 3812455966, 194, 10, [809398, 481012]
economy : 6947562267, 64, 9, [905056, 556326]
economy : 4691383918, 61, 0, [481012, 809398]
economy : 6776920618, 170, 3, [134017, 905056]
economy : 5076752491, 56, 0, [590305, 664408]
economy : 8351040162, 56, 0, [905056, 134017]
business : 6601559582, 194, 3, [793606, 549568]
business : 8330113127, 55, 1, [481012, 905056]
business : 3818764268, 48, 1, [905056, 898202]
economy : 4282535404, 119, 2, [481012, 134017]
economy : 8066241941, 109, 3, [905056, 793606]
business : 2653433183, 58, 1, [809398, 905056]
economy : 7082560050, 64, 1, [793606, 481012]
economy : 4346959534, 109, 7, [905056, 664408]
business : 6472078088, 70, 1, [549568, 556326]
economy : 8330988631, 103, 3, [556326, 481012]
economy : 8792798920, 185, 1, [549568, 590305]
luxury : 1894206309, 114, 1, [549568, 556326]
economy : 9297408950, 164, 2, [664408, 793606]
economy : 5445150257, 128, 0, [793606, 664408]
economy : 5516112697, 107, 1, [134017, 481012]
economy : 2460836391, 137, 3, [481012, 664408]
business : 4291038406, 199, 1, [590305, 134017]
business : 7318597467, 119, 1, [481012, 793606]
first : 3460636414, 77, 1, [898202, 481012]
business : 3802623274, 132, 2, [590305, 793606]
economy : 2119852566, 135, 0, [793606, 481012]
luxury : 3572433208, 138, 3, [905056, 590305]
economy : 2160368051, 116, 4, [134017, 590305]
economy : 9789043332, 45, 1, [898202, 793606]
economy : 3078803068, 125, 1, [590305, 905056]
economy : 8666111953, 129, 2, [134017, 905056]
economy : 1553173416, 89, 2, [481012, 134017]
business : 3630752911, 198, 0, [134017, 793606]
economy : 2819540636, 131, 2, [898202, 134017]
business : 5182613952, 96, 1, [549568, 809398]
economy : 5481910105, 178, 1, [481012, 898202]
business : 8867272770, 185, 2, [556326, 590305]
economy : 1721958267, 120, 1, [809398, 556326]
economy : 6491985675, 87, 3, [134017, 809398]
economy : 9735596051, 199, 2, [664408, 134017]
business : 1164092852, 176, 0, [481012, 793606]
economy : 7515200809, 178, 2, [793606, 809398]
business : 4192025343, 180, 1, [481012, 809398]
business : 2781382415, 60, 2, [664408, 549568]
business : 9682321465, 133, 2, [590305, 549568]
economy : 8133876964, 127, 0, [905056, 793606]
economy : 8839585453, 157, 1, [549568, 898202]
business : 9432781485, 131, 2, [481012, 898202]
business : 3193796415, 95, 1, [549568, 134017]
economy : 6000464418, 172, 4, [809398, 898202]
business : 6630591497, 136, 0, [898202, 590305]
luxury : 4007678604, 63, 1, [809398, 905056]
economy : 8116135844, 58, 0, [898202, 664408]
economy : 7162509402, 161, 0, [793606, 481012]
business : 8187327481, 144, 1, [793606, 809398]
economy : 8098547563, 122, 1, [481012, 549568]
first : 9676446098, 92, 2, [481012, 905056]
economy : 6340397076, 117, 2, [481012, 134017]
economy : 1080719104, 122, 2, [793606, 809398]
economy : 3760558811, 146, 2, [481012, 809398]
business : 5914086991, 135, 3, [481012, 134017]
luxury : 6434635838, 77, 2, [590305, 664408]
economy : 6272349310, 69, 2, [793606, 590305]
economy : 7124602922, 134, 0, [481012, 134017]
business : 8613505137, 74, 2, [898202, 809398]
business : 6639822724, 124, 2, [898202, 481012]
first : 7087088803, 105, 2, [809398, 590305]
economy : 5667726810, 81, 2, [905056, 481012]
economy : 7217681080, 122, 1, [809398, 905056]
first : 3321628292, 102, 1, [809398, 481012]
economy : 3491633052, 84, 2, [664408, 134017]
economy : 5819241653, 138, 1, [898202, 664408]
economy : 2066456590, 114, 1, [664408, 556326]
business : 2284350879, 65, 2, [793606, 809398]
economy : 9505304453, 146, 0, [556326, 134017]
economy : 4810694804, 63, 4, [549568, 134017]
economy : 4270447236, 132, 0, [549568, 481012]
economy : 1724706416, 170, 7, [905056, 664408]
economy : 8310687500, 123, 1, [793606, 809398]
economy : 6580690129, 166, 2, [905056, 134017]
business : 4322481978, 55, 8, [898202, 590305]
economy : 5166983509, 180, 2, [793606, 549568]
economy : 6085876531, 68, 1, [134017, 556326]
business : 2680429291, 140, 0, [134017, 590305]
luxury : 6269375005, 153, 0, [898202, 481012]
economy : 3350401609, 188, 0, [905056, 793606]
economy : 3885230158, 161, 0, [898202, 905056]
economy : 5371472578, 175, 1, [549568, 481012]
economy : 5661429013, 149, 1, [134017, 556326]
economy : 1741255969, 175, 3, [556326, 793606]
economy : 5642538183, 104, 1, [549568, 481012]
economy : 9612324674, 156, 6, [809398, 549568]
economy : 9677776441, 179, 1, [905056, 556326]
economy : 5750981781, 115, 1, [809398, 481012]
economy : 2657231214, 115, 3, [556326, 793606]
economy : 8432897284, 113, 3, [556326, 809398]
economy : 4213918631, 67, 2, [549568, 664408]
business : 9083016908, 179, 1, [481012, 793606]
economy : 3140365650, 43, 2, [905056, 549568]
economy : 8771546226, 42, 1, [590305, 809398]
economy : 3006473741, 54, 7, [793606, 556326]
economy : 8652089492, 100, 0, [549568, 590305]
luxury : 3381082891, 67, 3, [556326, 481012]
economy : 7327973085, 164, 2, [134017, 549568]
economy : 6360762307, 173, 9, [809398, 898202]
economy : 9266847695, 178, 0, [793606, 905056]
business : 2209662780, 84, 2, [905056, 556326]
economy : 2962966299, 40, 2, [556326, 664408]
economy : 3420075761, 68, 3, [481012, 809398]
economy : 7149892392, 55, 1, [898202, 481012]
economy : 6294619352, 62, 1, [809398, 898202]
economy : 5297551390, 81, 0, [898202, 590305]
economy : 9382201768, 200, 2, [549568, 590305]
business : 2050883985, 154, 1, [556326, 898202]
economy : 2599987057, 144, 4, [134017, 481012]
business : 3635291202, 186, 2, [905056, 134017]
economy : 5891234566, 93, 1, [793606, 898202]
economy : 7682657348, 59, 1, [556326, 898202]
economy : 7239943537, 50, 1, [664408, 809398]
economy : 7381258243, 42, 5, [898202, 905056]
economy : 8656676386, 159, 0, [898202, 549568]
economy : 8595237915, 181, 1, [898202, 793606]
economy : 7896115794, 62, 1, [809398, 793606]
luxury : 8536052863, 127, 2, [898202, 905056]
business : 7981863731, 185, 2, [898202, 809398]
business : 2644807968, 110, 3, [905056, 481012]
luxury : 6222100438, 100, 9, [134017, 590305]
economy : 7750005132, 60, 2, [898202, 664408]
economy : 9674247251, 67, 4, [793606, 556326]
economy : 8613668476, 106, 1, [481012, 905056]
economy : 2020924004, 40, 3, [898202, 134017]
economy : 7204472640, 85, 1, [664408, 481012]
economy : 3999817023, 122, 0, [481012, 664408]
economy : 2854831199, 193, 1, [809398, 793606]
economy : 9183766504, 181, 5, [905056, 809398]
business : 9915628431, 128, 1, [134017, 556326]
economy : 1213645327, 168, 5, [898202, 134017]
business : 6745263216, 188, 1, [590305, 134017]
economy : 3593538013, 98, 5, [556326, 134017]
economy : 9093272360, 168, 9, [481012, 905056]
economy : 8851568000, 146, 3, [549568, 898202]
economy : 6648151350, 103, 1, [134017, 590305]
economy : 7581045371, 178, 4, [134017, 809398]
economy : 7802648439, 102, 10, [556326, 898202]
economy : 1689570725, 129, 5, [809398, 556326]
economy : 2638378560, 130, 2, [549568, 556326]
economy : 2501773550, 85, 3, [793606, 664408]
first : 7664266205, 106, 0, [590305, 898202]
economy : 3446098340, 96, 2, [134017, 549568]
economy : 2603996990, 90, 2, [549568, 556326]
economy : 3663955314, 96, 0, [134017, 809398]
business : 7548178447, 91, 6, [664408, 590305]
business : 9174083003, 120, 1, [809398, 590305]
economy : 2565607286, 124, 10, [898202, 793606]
economy : 8484799062, 78, 2, [481012, 898202]
economy : 2021386686, 124, 0, [481012, 590305]
business : 4739090713, 152, 9, [556326, 905056]
economy : 4278791569, 173, 6, [905056, 793606]
first : 5953570444, 98, 0, [556326, 481012]
economy : 2690565476, 45, 1, [793606, 898202]
first : 8795091321, 184, 1, [481012, 664408]
economy : 8345303540, 183, 2, [809398, 905056]
economy : 6453438835, 187, 0, [809398, 549568]
economy : 7251146725, 72, 1, [590305, 898202]
economy : 6237235435, 123, 0, [905056, 134017]
economy : 1304087929, 171, 5, [549568, 590305]
business : 6513204737, 47, 1, [134017, 481012]
first : 4693921983, 115, 1, [590305, 481012]
business : 3624752077, 184, 0, [905056, 481012]
luxury : 3560453639, 126, 2, [556326, 664408]
first : 7451542864, 93, 2, [793606, 905056]
economy : 1512614576, 122, 2, [905056, 590305]
first : 4218249519, 161, 1, [590305, 556326]
economy : 8730280953, 54, 3, [590305, 549568]
business : 8929087793, 41, 2, [556326, 134017]
economy : 4222795953, 125, 2, [590305, 549568]
economy : 6131650216, 71, 1, [664408, 793606]
economy : 4029311098, 72, 2, [590305, 905056]
economy : 2952422502, 132, 2, [664408, 905056]
economy : 7958753500, 94, 1, [549568, 809398]
luxury : 2948172045, 161, 1, [134017, 590305]
economy : 6991910597, 163, 2, [905056, 809398]
economy : 7081678033, 128, 2, [905056, 590305]
economy : 1680285493, 87, 1, [134017, 793606]
economy : 9604382698, 104, 2, [905056, 590305]
economy : 4358961404, 111, 1, [898202, 905056]
economy : 3176864666, 184, 3, [793606, 664408]
economy : 9440370699, 78, 6, [134017, 809398]
economy : 8937376117, 105, 1, [590305, 556326]
economy : 4058899722, 153, 2, [664408, 590305]
economy : 6540767513, 79, 9, [905056, 134017]
business : 2099614622, 105, 2, [898202, 134017]
economy : 9156896614, 118, 6, [664408, 898202]
economy : 6234549827, 195, 1, [556326, 809398]
business : 8576774563, 172, 0, [898202, 481012]
economy : 1651006844, 195, 0, [556326, 809398]
economy : 6219757662, 141, 1, [549568, 809398]
economy : 1556851637, 74, 1, [793606, 905056]
first : 2812111032, 105, 1, [664408, 809398]
business : 1450723977, 54, 0, [898202, 809398]
economy : 7892834656, 158, 2, [549568, 590305]
business : 8200161896, 173, 2, [664408, 549568]
economy : 3991199245, 184, 0, [481012, 556326]
business : 6927348171, 46, 5, [549568, 898202]
economy : 8719935939, 78, 2, [905056, 556326]
economy : 5952530289, 138, 0, [481012, 664408]
economy : 1258325303, 69, 3, [549568, 898202]
business : 2979774415, 76, 7, [905056, 898202]
economy : 1424351490, 123, 1, [898202, 481012]
economy : 5603053227, 104, 1, [905056, 481012]
business : 4632343722, 189, 2, [793606, 134017]
economy : 8875348906, 161, 1, [556326, 549568]
economy : 7359645822, 191, 0, [898202, 134017]
economy : 5263179302, 140, 1, [481012, 809398]
economy : 3085704396, 76, 0, [809398, 664408]
economy : 8981026245, 153, 1, [556326, 481012]
economy : 9773214935, 174, 1, [590305, 134017]
economy : 3581316148, 180, 6, [905056, 481012]
business : 3034349889, 145, 1, [905056, 898202]
economy : 7404760157, 43, 1, [905056, 590305]
economy : 9682839953, 136, 2, [556326, 905056]
first : 5282239851, 123, 2, [664408, 549568]
business : 2273300377, 100, 0, [590305, 898202]
economy : 2729441856, 168, 1, [590305, 898202]
economy : 3269770128, 174, 4, [809398, 664408]
economy : 7599148799, 130, 6, [481012, 556326]
business : 3684112296, 78, 1, [898202, 549568]
economy : 9320958102, 168, 0, [134017, 590305]
business : 1880685710, 49, 0, [481012, 793606]
economy : 8557784547, 93, 0, [809398, 556326]
economy : 8205408111, 86, 1, [898202, 556326]
economy : 4276736798, 148, 2, [664408, 809398]
business : 9220674734, 144, 2, [793606, 556326]
economy : 8418947562, 92, 1, [590305, 809398]
economy : 6955411710, 116, 2, [664408, 134017]
economy : 6287708468, 138, 9, [549568, 134017]
business : 2084703462, 149, 1, [664408, 549568]
economy : 1477414363, 130, 3, [556326, 905056]
business : 6013753353, 135, 1, [793606, 664408]
economy : 6071974616, 93, 0, [809398, 556326]
luxury : 1677556698, 159, 0, [549568, 905056]
business : 1551159414, 138, 2, [590305, 549568]
economy : 5420744131, 197, 0, [549568, 556326]
economy : 5850853152, 58, 2, [664408, 556326]
economy : 4026614740, 143, 6, [590305, 793606]
business : 1233942240, 155, 0, [905056, 590305]
business : 4948433706, 65, 7, [481012, 793606]
business : 5852591419, 115, 0, [556326, 134017]
economy : 6118253138, 164, 9, [481012, 556326]
economy : 5460355976, 176, 4, [664408, 549568]
business : 9208044826, 118, 1, [556326, 134017]
economy : 6324034047, 113, 1, [134017, 905056]
economy : 1920485104, 131, 0, [134017, 556326]
business : 3508925380, 186, 6, [809398, 590305]
business : 9171054026, 111, 1, [556326, 664408]
economy : 1731936233, 173, 2, [134017, 549568]
economy : 3637371149, 181, 1, [793606, 664408]
economy : 7670967707, 177, 2, [898202, 590305]
economy : 8167421326, 189, 7, [549568, 590305]
first : 4433036671, 123, 1, [481012, 556326]
business : 7077056073, 93, 4, [898202, 793606]
luxury : 7586501104, 119, 2, [556326, 905056]
economy : 3397238898, 135, 2, [664408, 549568]
economy : 3331542062, 155, 8, [556326, 898202]
economy : 2066311215, 119, 1, [809398, 898202]
economy : 3228379266, 73, 2, [898202, 134017]
economy : 7668753655, 131, 4, [809398, 793606]
business : 1559363019, 160, 2, [898202, 793606]
economy : 4745419557, 166, 3, [898202, 481012]
economy : 1388301956, 104, 2, [898202, 556326]
first : 1256851407, 97, 5, [793606, 134017]
luxury : 6915945521, 78, 1, [134017, 481012]
business : 3891959322, 196, 2, [481012, 793606]
economy : 3300989622, 144, 1, [905056, 481012]
economy : 6791578613, 68, 10, [898202, 793606]
economy : 9425614111, 176, 6, [590305, 905056]
economy : 3692900648, 121, 4, [793606, 898202]
business : 2933206449, 179, 2, [809398, 793606]
economy : 1271653057, 100, 0, [905056, 590305]
economy : 9419938578, 189, 3, [905056, 793606]
first : 7147005383, 74, 3, [905056, 481012]
business : 6028872171, 118, 4, [809398, 905056]
economy : 1247731173, 110, 3, [134017, 809398]
economy : 7243503190, 112, 1, [793606, 809398]
economy : 5470747885, 199, 2, [664408, 905056]
economy : 7807649188, 191, 4, [793606, 549568]
economy : 2085679321, 128, 0, [905056, 898202]
business : 5642203969, 65, 1, [134017, 549568]
luxury : 1560522353, 63, 2, [549568, 134017]
economy : 5172277117, 129, 2, [549568, 664408]
economy : 2949628000, 110, 0, [481012, 549568]
economy : 8382709409, 53, 1, [664408, 134017]
economy : 2996289996, 42, 2, [549568, 134017]
economy : 1255578391, 126, 0, [905056, 809398]
economy : 1537395754, 79, 1, [549568, 556326]
economy : 3691055758, 77, 2, [793606, 549568]
business : 2490847595, 193, 10, [809398, 549568]
economy : 7391353928, 109, 1, [134017, 556326]
economy : 3487763658, 91, 1, [664408, 809398]
economy : 6689901722, 119, 2, [556326, 898202]
economy : 2502870305, 46, 1, [898202, 590305]
economy : 5225675229, 96, 2, [905056, 134017]
economy : 1778093629, 177, 4, [809398, 134017]
luxury : 5444723587, 88, 0, [134017, 809398]
economy : 9490596150, 140, 1, [905056, 556326]
economy : 8613009026, 47, 2, [905056, 898202]
economy : 2894357402, 74, 7, [481012, 898202]
economy : 4994505760, 177, 1, [664408, 556326]
economy : 5289334970, 167, 3, [590305, 556326]
economy : 2994529187, 63, 9, [664408, 556326]
economy : 3933642622, 68, 2, [809398, 898202]
economy : 8974192471, 140, 1, [556326, 905056]
luxury : 4982391024, 87, 2, [905056, 549568]
economy : 7324303955, 150, 6, [809398, 793606]
economy : 2945024703, 120, 4, [793606, 664408]
economy : 5564315251, 119, 0, [898202, 809398]
economy : 3991052741, 52, 4, [481012, 549568]
economy : 9508487551, 194, 0, [905056, 590305]
first : 8529597329, 200, 0, [905056, 898202]
economy : 8683304282, 75, 5, [905056, 481012]
business : 5515171613, 41, 3, [809398, 556326]
economy : 5987894750, 170, 1, [590305, 664408]
business : 9317109505, 66, 4, [809398, 134017]
economy : 6493405264, 92, 5, [809398, 664408]
first : 5652259487, 183, 0, [134017, 905056]
business : 6352145645, 200, 0, [134017, 898202]
luxury : 7794649532, 200, 3, [556326, 481012]
economy : 2664214132, 113, 0, [556326, 905056]
economy : 7599054377, 112, 2, [793606, 590305]
economy : 1153150298, 61, 1, [664408, 556326]
business : 2090100052, 126, 2, [590305, 481012]
economy : 3718148319, 176, 3, [793606, 590305]
luxury : 4122667111, 153, 1, [898202, 556326]
economy : 1452102603, 104, 0, [481012, 664408]
business : 1283076289, 107, 3, [793606, 549568]
economy : 8206402976, 111, 3, [590305, 556326]
business : 6563144516, 198, 3, [793606, 590305]
business : 8050198894, 64, 3, [809398, 134017]
economy : 2613255334, 99, 1, [556326, 905056]
economy : 8061420983, 83, 5, [898202, 481012]
economy : 7778875763, 147, 1, [809398, 905056]
business : 5517363675, 67, 0, [905056, 793606]
economy : 5903365770, 90, 5, [793606, 809398]
first : 6430981814, 142, 1, [905056, 590305]
economy : 7917960523, 54, 2, [898202, 134017]
economy : 2834921205, 60, 4, [898202, 481012]
economy : 5525343554, 70, 2, [793606, 809398]
business : 7934532632, 90, 2, [905056, 898202]
economy : 7182041400, 153, 2, [134017, 556326]
economy : 2156609742, 198, 2, [556326, 590305]
business : 8993167700, 166, 1, [481012, 664408]
economy : 2713885215, 178, 0, [556326, 809398]
economy : 3197440984, 45, 2, [549568, 664408]
economy : 4046715408, 55, 3, [898202, 809398]
business : 6337655096, 109, 2, [549568, 905056]
business : 9936805043, 70, 2, [905056, 481012]
business : 5153955528, 48, 8, [549568, 556326]
economy : 7724459509, 110, 1, [134017, 481012]
economy : 7591900048, 100, 1, [481012, 549568]
economy : 3167778117, 158, 5, [481012, 556326]
first : 6983971521, 158, 0, [556326, 905056]
economy : 2180462760, 115, 0, [664408, 898202]
economy : 6448090104, 114, 2, [793606, 590305]
economy : 9441390950, 73, 2, [898202, 549568]
economy : 5680993339, 70, 1, [134017, 905056]
luxury : 2564146808, 195, 1, [481012, 898202]
economy : 9600803929, 85, 7, [549568, 556326]
economy : 7793606262, 109, 0, [905056, 809398]
luxury : 1728666398, 109, 3, [556326, 793606]
economy : 8876803635, 82, 1, [898202, 549568]
economy : 3473934398, 160, 0, [793606, 898202]
economy : 2744950841, 74, 10, [556326, 549568]
economy : 1661700455, 190, 10, [481012, 549568]
economy : 1741515552, 70, 2, [590305, 556326]
economy : 1839771817, 77, 3, [556326, 898202]
economy : 8969086961, 152, 2, [549568, 556326]
economy : 7624625782, 131, 3, [905056, 549568]
economy : 2964428381, 186, 2, [793606, 809398]
economy : 1487127997, 122, 0, [556326, 481012]
economy : 6507912925, 77, 2, [549568, 556326]
business : 4442150206, 86, 2, [793606, 556326]
first : 7870711547, 80, 2, [549568, 590305]
economy : 5844371158, 161, 3, [549568, 809398]
economy : 3138147401, 155, 1, [590305, 905056]
economy : 5134447689, 160, 4, [549568, 793606]
economy : 6648207164, 137, 5, [809398, 556326]
economy : 1582399237, 80, 0, [134017, 809398]
economy : 3040728954, 162, 4, [809398, 898202]
economy : 1064497974, 118, 2, [905056, 556326]
economy : 4666791450, 165, 2, [556326, 590305]
first : 7585807400, 185, 0, [549568, 556326]
economy : 4952092501, 165, 7, [481012, 664408]
economy : 7563478245, 120, 5, [898202, 664408]
business : 7955795473, 57, 4, [898202, 549568]
economy : 1130661073, 100, 2, [590305, 549568]
economy : 1722499667, 127, 3, [556326, 664408]
economy : 2915263789, 77, 2, [556326, 809398]
economy : 7475158953, 167, 1, [481012, 793606]
business : 4980310561, 158, 2, [898202, 793606]
economy : 4736427195, 196, 10, [793606, 134017]
economy : 2665313371, 157, 1, [134017, 793606]
economy : 6312999662, 60, 7, [549568, 134017]
economy : 7880092120, 167, 0, [556326, 590305]
economy : 7759196254, 63, 2, [793606, 556326]
first : 6428846352, 115, 0, [481012, 793606]
economy : 3929231500, 45, 3, [809398, 664408]
economy : 8587923645, 179, 2, [809398, 549568]
economy : 5134678178, 199, 0, [134017, 664408]
economy : 2162867415, 191, 5, [809398, 549568]
economy : 2932427558, 127, 3, [905056, 481012]
economy : 8551460399, 195, 1, [898202, 793606]
economy : 4702100300, 161, 2, [556326, 590305]
first : 9969269980, 130, 3, [590305, 905056]
luxury : 3378837352, 109, 3, [481012, 549568]
business : 9796810994, 89, 0, [556326, 898202]
economy : 3916787963, 116, 1, [549568, 134017]
economy : 4169355219, 183, 3, [590305, 898202]
economy : 4750525793, 43, 2, [556326, 549568]
economy : 7427982406, 148, 1, [481012, 134017]
economy : 7609410253, 112, 1, [905056, 898202]
economy : 7482452540, 105, 4, [590305, 898202]
economy : 6604735784, 62, 7, [809398, 481012]
economy : 6281565423, 77, 0, [898202, 905056]
economy : 4553362257, 86, 0, [590305, 134017]
business : 4412880355, 180, 7, [556326, 481012]
economy : 5610496656, 96, 2, [590305, 793606]
economy : 9738366234, 112, 2, [134017, 809398]
economy : 7551792265, 104, 1, [556326, 898202]
business : 9860053471, 61, 2, [481012, 793606]
first : 5421828824, 157, 1, [664408, 898202]
economy : 4254146568, 180, 4, [898202, 481012]
economy : 3912296659, 112, 0, [556326, 549568]
economy : 9581522389, 145, 0, [549568, 809398]
economy : 9028883578, 70, 1, [134017, 905056]
economy : 1312686312, 165, 1, [898202, 905056]
economy : 5573064960, 129, 2, [793606, 898202]
economy : 5128770913, 114, 1, [481012, 905056]
economy : 8840648964, 175, 3, [556326, 898202]
economy : 9445484176, 88, 6, [793606, 134017]
economy : 8247302462, 126, 1, [134017, 809398]
luxury : 6661595978, 75, 8, [481012, 549568]
economy : 6476540443, 158, 2, [809398, 905056]
economy : 5147384245, 54, 1, [898202, 549568]
economy : 5748202954, 177, 2, [134017, 809398]
business : 1259912247, 43, 2, [549568, 134017]
business : 7476726329, 129, 1, [793606, 134017]
economy : 3075835523, 96, 1, [898202, 809398]
economy : 4038249149, 113, 9, [481012, 134017]
economy : 7655649131, 167, 2, [905056, 549568]
first : 2776132609, 129, 2, [481012, 809398]
business : 8932181810, 72, 6, [481012, 590305]
first : 6929615579, 70, 4, [590305, 793606]
business : 4394451478, 69, 1, [590305, 905056]
business : 2584998922, 97, 0, [664408, 481012]
economy : 4594562444, 131, 0, [590305, 134017]
business : 9976479937, 78, 1, [556326, 481012]
economy : 7367489697, 161, 3, [556326, 549568]
business : 1452957304, 100, 1, [905056, 590305]
economy : 7165296092, 115, 2, [664408, 549568]
business : 7563894315, 146, 7, [809398, 793606]
business : 7493414258, 54, 1, [898202, 664408]
economy : 2792843108, 109, 1, [809398, 556326]
economy : 5564571350, 69, 0, [549568, 809398]
economy : 4657438570, 62, 4, [809398, 905056]
economy : 6420056156, 177, 1, [809398, 793606]
economy : 2931381579, 71, 4, [590305, 556326]
first : 6858567660, 138, 2, [556326, 905056]
luxury : 1985456668, 191, 0, [664408, 556326]
economy : 3169019398, 134, 1, [549568, 134017]
economy : 6565233345, 101, 1, [590305, 898202]
economy : 1732077668, 152, 1, [134017, 905056]
business : 4982617322, 138, 2, [481012, 134017]
economy : 1300138875, 108, 2, [590305, 556326]
business : 7289838310, 94, 1, [556326, 549568]
economy : 2353125680, 84, 1, [898202, 590305]
economy : 1020999816, 176, 5, [556326, 481012]
economy : 9599274237, 149, 2, [481012, 590305]
economy : 3407478623, 110, 2, [590305, 898202]
economy : 1466463881, 184, 0, [898202, 793606]
first : 9010234665, 63, 3, [664408, 590305]
economy : 9124201534, 146, 1, [556326, 549568]
economy : 3589918569, 172, 2, [898202, 134017]
economy : 5260214928, 89, 2, [793606, 549568]
economy : 2853142365, 189, 1, [793606, 664408]
business : 2835883548, 129, 3, [481012, 898202]
economy : 1777210305, 184, 6, [549568, 134017]
economy : 4725998879, 150, 0, [898202, 809398]
economy : 8038899378, 78, 8, [905056, 549568]
economy : 9854832455, 50, 0, [793606, 556326]
economy : 1207276056, 119, 0, [549568, 134017]
economy : 1405489606, 124, 1, [664408, 590305]
economy : 6265971881, 68, 1, [664408, 793606]
economy : 8388286682, 45, 1, [905056, 590305]
economy : 6597657288, 104, 0, [664408, 549568]
business : 1602126781, 152, 2, [898202, 556326]
economy : 8295804010, 184, 1, [664408, 809398]
business : 2363179511, 102, 0, [905056, 898202]
economy : 2381513051, 187, 2, [590305, 549568]
economy : 5633627705, 70, 5, [793606, 556326]
economy : 8322449518, 86, 1, [481012, 556326]
business : 6953793331, 166, 0, [556326, 481012]
first : 2494895136, 158, 2, [481012, 590305]
luxury : 1189166131, 88, 5, [134017, 664408]
first : 8814269799, 75, 8, [134017, 809398]
economy : 3229638355, 190, 2, [556326, 134017]
business : 1837903002, 49, 0, [905056, 809398]
economy : 9772152788, 155, 1, [556326, 905056]
economy : 7131158704, 198, 1, [809398, 898202]
first : 2026808659, 59, 2, [134017, 549568]
economy : 5607416201, 178, 3, [905056, 481012]
economy : 5566575770, 93, 2, [905056, 898202]
first : 3698275541, 83, 3, [549568, 793606]
economy : 6051739887, 186, 10, [590305, 134017]
economy : 9860995709, 93, 1, [549568, 809398]
business : 1692832776, 176, 0, [898202, 590305]
economy : 6994677773, 179, 1, [664408, 898202]
economy : 8862948879, 51, 1, [809398, 664408]
economy : 8441816759, 191, 5, [898202, 549568]
economy : 3030026211, 170, 0, [549568, 134017]
first : 9575487008, 166, 2, [134017, 898202]
economy : 7172990097, 141, 2, [556326, 905056]
economy : 7196953097, 94, 1, [481012, 590305]
economy : 6633758935, 52, 0, [898202, 556326]
economy : 4965336408, 84, 3, [556326, 134017]
